"","map_R","map_G","map_B","satellite_R","satellite_G","satellite_B"
"1",0.941176470588235,0.929411764705882,0.850980392156863,0.0901960784313725,0.192156862745098,0.12156862745098
"2",0.92156862745098,0.909803921568627,0.870588235294118,0.36078431372549,0.392156862745098,0.247058823529412
"3",0.933333333333333,0.92156862745098,0.83921568627451,0.0823529411764706,0.188235294117647,0.125490196078431
"4",0,0,0,0.529411764705882,0.552941176470588,0.490196078431373
"5",0.901960784313726,0.886274509803922,0.807843137254902,0.137254901960784,0.231372549019608,0.133333333333333
"6",0,0,0,0.411764705882353,0.447058823529412,0.380392156862745
"7",0,0,0,0.447058823529412,0.47843137254902,0.411764705882353
"8",0.862745098039216,0.847058823529412,0.772549019607843,0.231372549019608,0.294117647058824,0.192156862745098
"9",0.898039215686275,0.886274509803922,0.847058823529412,0.290196078431373,0.345098039215686,0.227450980392157
"10",0.925490196078431,0.909803921568627,0.827450980392157,0.207843137254902,0.290196078431373,0.184313725490196
"11",0.92156862745098,0.909803921568627,0.870588235294118,0.0784313725490196,0.180392156862745,0.117647058823529
"12",0.941176470588235,0.929411764705882,0.850980392156863,0.125490196078431,0.23921568627451,0.156862745098039
"13",0.901960784313726,0.886274509803922,0.807843137254902,0.290196078431373,0.349019607843137,0.235294117647059
"14",0,0,0,0.686274509803922,0.670588235294118,0.623529411764706
"15",0.941176470588235,0.929411764705882,0.850980392156863,0.0352941176470588,0.152941176470588,0.101960784313725
"16",0.925490196078431,0.909803921568627,0.827450980392157,0.219607843137255,0.309803921568627,0.2
"17",0.909803921568627,0.894117647058824,0.854901960784314,0.301960784313725,0.356862745098039,0.250980392156863
"18",0.937254901960784,0.929411764705882,0.886274509803922,0.12156862745098,0.243137254901961,0.176470588235294
"19",0.925490196078431,0.909803921568627,0.827450980392157,0.16078431372549,0.227450980392157,0.129411764705882
"20",0.901960784313726,0.886274509803922,0.807843137254902,0.223529411764706,0.290196078431373,0.192156862745098
"21",0.898039215686275,0.886274509803922,0.847058823529412,0.137254901960784,0.254901960784314,0.176470588235294
"22",0.925490196078431,0.909803921568627,0.827450980392157,0.0980392156862745,0.2,0.129411764705882
"23",0.925490196078431,0.909803921568627,0.827450980392157,0.274509803921569,0.337254901960784,0.227450980392157
"24",0.925490196078431,0.909803921568627,0.827450980392157,0.16078431372549,0.270588235294118,0.16078431372549
"25",0.905882352941176,0.890196078431372,0.807843137254902,0.133333333333333,0.250980392156863,0.164705882352941
"26",0.901960784313726,0.886274509803922,0.807843137254902,0.227450980392157,0.282352941176471,0.164705882352941
"27",0,0,0,0.67843137254902,0.666666666666667,0.619607843137255
"28",0.905882352941176,0.866666666666667,0.756862745098039,0.0627450980392157,0.176470588235294,0.0823529411764706
"29",0.411764705882353,0.407843137254902,0.388235294117647,0.462745098039216,0.490196078431373,0.427450980392157
"30",0.937254901960784,0.929411764705882,0.886274509803922,0.0705882352941176,0.188235294117647,0.125490196078431
"31",0.92156862745098,0.909803921568627,0.870588235294118,0.0745098039215686,0.215686274509804,0.125490196078431
"32",0.925490196078431,0.909803921568627,0.827450980392157,0.274509803921569,0.333333333333333,0.211764705882353
"33",0,0,0,0.486274509803922,0.513725490196078,0.423529411764706
"34",0,0,0,0.517647058823529,0.533333333333333,0.47843137254902
"35",0.866666666666667,0.850980392156863,0.776470588235294,0.133333333333333,0.211764705882353,0.105882352941176
"36",0.925490196078431,0.909803921568627,0.827450980392157,0.0980392156862745,0.188235294117647,0.109803921568627
"37",0.96078431372549,0.945098039215686,0.866666666666667,0.0117647058823529,0.133333333333333,0.0862745098039216
"38",0,0,0,0.533333333333333,0.556862745098039,0.498039215686275
"39",0.941176470588235,0.929411764705882,0.850980392156863,0.101960784313725,0.227450980392157,0.133333333333333
"40",0.0431372549019608,0.0431372549019608,0.0352941176470588,0.486274509803922,0.505882352941176,0.447058823529412
"41",0.862745098039216,0.847058823529412,0.772549019607843,0.133333333333333,0.250980392156863,0.133333333333333
"42",0.568627450980392,0.552941176470588,0.529411764705882,0.384313725490196,0.419607843137255,0.349019607843137
"43",0.898039215686275,0.886274509803922,0.847058823529412,0.117647058823529,0.211764705882353,0.101960784313725
"44",0.898039215686275,0.886274509803922,0.847058823529412,0.0941176470588235,0.231372549019608,0.141176470588235
"45",0,0,0,0.556862745098039,0.584313725490196,0.525490196078431
"46",0.92156862745098,0.909803921568627,0.870588235294118,0.16078431372549,0.258823529411765,0.16078431372549
"47",0.92156862745098,0.909803921568627,0.870588235294118,0.305882352941176,0.376470588235294,0.27843137254902
"48",0.898039215686275,0.886274509803922,0.847058823529412,0.0823529411764706,0.219607843137255,0.125490196078431
"49",0.917647058823529,0.905882352941176,0.866666666666667,0.156862745098039,0.274509803921569,0.184313725490196
"50",0.925490196078431,0.909803921568627,0.827450980392157,0.0901960784313725,0.227450980392157,0.141176470588235
"51",0,0,0,0.43921568627451,0.470588235294118,0.407843137254902
"52",0.925490196078431,0.917647058823529,0.874509803921569,0.0352941176470588,0.16078431372549,0.109803921568627
"53",0.933333333333333,0.92156862745098,0.83921568627451,0.0156862745098039,0.0980392156862745,0.0313725490196078
"54",0.925490196078431,0.909803921568627,0.827450980392157,0.109803921568627,0.227450980392157,0.133333333333333
"55",0.925490196078431,0.909803921568627,0.827450980392157,0.0588235294117647,0.164705882352941,0.0980392156862745
"56",0.92156862745098,0.909803921568627,0.870588235294118,0.152941176470588,0.23921568627451,0.164705882352941
"57",0.925490196078431,0.909803921568627,0.827450980392157,0.219607843137255,0.282352941176471,0.176470588235294
"58",0.92156862745098,0.909803921568627,0.870588235294118,0.172549019607843,0.23921568627451,0.152941176470588
"59",0.909803921568627,0.898039215686275,0.858823529411765,0.117647058823529,0.223529411764706,0.149019607843137
"60",0.933333333333333,0.925490196078431,0.882352941176471,0.164705882352941,0.262745098039216,0.192156862745098
"61",0.87843137254902,0.862745098039216,0.784313725490196,0.105882352941176,0.219607843137255,0.129411764705882
"62",0.925490196078431,0.909803921568627,0.827450980392157,0.254901960784314,0.313725490196078,0.192156862745098
"63",0.925490196078431,0.909803921568627,0.827450980392157,0.223529411764706,0.290196078431373,0.192156862745098
"64",0.92156862745098,0.909803921568627,0.870588235294118,0.227450980392157,0.32156862745098,0.254901960784314
"65",0.96078431372549,0.945098039215686,0.866666666666667,0.0784313725490196,0.172549019607843,0.0862745098039216
"66",0,0,0,0.580392156862745,0.607843137254902,0.545098039215686
"67",0.925490196078431,0.909803921568627,0.827450980392157,0.223529411764706,0.27843137254902,0.16078431372549
"68",0.92156862745098,0.909803921568627,0.870588235294118,0.380392156862745,0.423529411764706,0.349019607843137
"69",0.92156862745098,0.909803921568627,0.870588235294118,0.149019607843137,0.266666666666667,0.184313725490196
"70",0.870588235294118,0.823529411764706,0.713725490196078,0.12156862745098,0.23921568627451,0.125490196078431
"71",0.92156862745098,0.909803921568627,0.870588235294118,0,0.105882352941176,0.0392156862745098
"72",0.941176470588235,0.929411764705882,0.850980392156863,0.0313725490196078,0.133333333333333,0.0392156862745098
"73",0.917647058823529,0.905882352941176,0.870588235294118,0.0509803921568627,0.184313725490196,0.117647058823529
"74",0,0,0,0.501960784313725,0.517647058823529,0.466666666666667
"75",0.937254901960784,0.929411764705882,0.886274509803922,0.0313725490196078,0.156862745098039,0.0941176470588235
"76",0.882352941176471,0.866666666666667,0.792156862745098,0.172549019607843,0.254901960784314,0.149019607843137
"77",0.901960784313726,0.886274509803922,0.807843137254902,0.254901960784314,0.309803921568627,0.192156862745098
"78",0.866666666666667,0.850980392156863,0.776470588235294,0.247058823529412,0.298039215686275,0.188235294117647
"79",0,0,0,0.498039215686275,0.517647058823529,0.462745098039216
"80",0.92156862745098,0.909803921568627,0.870588235294118,0.133333333333333,0.254901960784314,0.188235294117647
"81",0.925490196078431,0.909803921568627,0.827450980392157,0.36078431372549,0.345098039215686,0.203921568627451
"82",0.925490196078431,0.913725490196078,0.874509803921569,0.00784313725490196,0.12156862745098,0.0745098039215686
"83",0.941176470588235,0.929411764705882,0.850980392156863,0.133333333333333,0.215686274509804,0.141176470588235
"84",0.901960784313726,0.886274509803922,0.807843137254902,0.16078431372549,0.254901960784314,0.16078431372549
"85",0.925490196078431,0.909803921568627,0.827450980392157,0.0588235294117647,0.180392156862745,0.0980392156862745
"86",0.870588235294118,0.823529411764706,0.713725490196078,0.113725490196078,0.254901960784314,0.125490196078431
"87",0.537254901960784,0.537254901960784,0.505882352941176,0.36078431372549,0.403921568627451,0.329411764705882
"88",0,0,0,0.780392156862745,0.796078431372549,0.749019607843137
"89",0.925490196078431,0.909803921568627,0.827450980392157,0.207843137254902,0.301960784313725,0.211764705882353
"90",0.925490196078431,0.909803921568627,0.827450980392157,0.305882352941176,0.356862745098039,0.235294117647059
"91",0.925490196078431,0.909803921568627,0.827450980392157,0.235294117647059,0.298039215686275,0.184313725490196
"92",0.92156862745098,0.909803921568627,0.870588235294118,0.0745098039215686,0.2,0.12156862745098
"93",0.925490196078431,0.909803921568627,0.827450980392157,0.113725490196078,0.192156862745098,0.0901960784313725
"94",0,0,0,0.486274509803922,0.505882352941176,0.450980392156863
"95",0.925490196078431,0.909803921568627,0.827450980392157,0.141176470588235,0.235294117647059,0.125490196078431
"96",0.898039215686275,0.886274509803922,0.847058823529412,0.298039215686275,0.341176470588235,0.219607843137255
"97",0.925490196078431,0.909803921568627,0.827450980392157,0.301960784313725,0.349019607843137,0.223529411764706
"98",0.901960784313726,0.886274509803922,0.807843137254902,0.207843137254902,0.266666666666667,0.176470588235294
"99",0.870588235294118,0.823529411764706,0.713725490196078,0.156862745098039,0.223529411764706,0.113725490196078
"100",0.901960784313726,0.886274509803922,0.807843137254902,0.258823529411765,0.309803921568627,0.188235294117647
"101",0.917647058823529,0.901960784313726,0.819607843137255,0.192156862745098,0.258823529411765,0.16078431372549
"102",0.92156862745098,0.909803921568627,0.870588235294118,0.423529411764706,0.458823529411765,0.392156862745098
"103",0.925490196078431,0.909803921568627,0.827450980392157,0.101960784313725,0.2,0.129411764705882
"104",0.941176470588235,0.929411764705882,0.850980392156863,0.133333333333333,0.247058823529412,0.156862745098039
"105",0.925490196078431,0.909803921568627,0.827450980392157,0.0627450980392157,0.203921568627451,0.109803921568627
"106",0.901960784313726,0.886274509803922,0.807843137254902,0.36078431372549,0.392156862745098,0.258823529411765
"107",0.92156862745098,0.909803921568627,0.870588235294118,0.462745098039216,0.490196078431373,0.431372549019608
"108",0.937254901960784,0.929411764705882,0.886274509803922,0,0.105882352941176,0.0509803921568627
"109",0.92156862745098,0.909803921568627,0.870588235294118,0.407843137254902,0.443137254901961,0.376470588235294
"110",0,0,0,0.47843137254902,0.505882352941176,0.447058823529412
"111",0.858823529411765,0.847058823529412,0.807843137254902,0.172549019607843,0.282352941176471,0.172549019607843
"112",0.92156862745098,0.909803921568627,0.870588235294118,0.447058823529412,0.458823529411765,0.4
"113",0.901960784313726,0.886274509803922,0.807843137254902,0.203921568627451,0.262745098039216,0.164705882352941
"114",0.901960784313726,0.886274509803922,0.807843137254902,0.0156862745098039,0.133333333333333,0.0509803921568627
"115",0.898039215686275,0.886274509803922,0.847058823529412,0.141176470588235,0.250980392156863,0.184313725490196
"116",0.898039215686275,0.886274509803922,0.847058823529412,0.0784313725490196,0.188235294117647,0.113725490196078
"117",0.92156862745098,0.909803921568627,0.870588235294118,0.145098039215686,0.223529411764706,0.141176470588235
"118",0.925490196078431,0.909803921568627,0.827450980392157,0.172549019607843,0.27843137254902,0.168627450980392
"119",0.925490196078431,0.909803921568627,0.827450980392157,0,0.0784313725490196,0.0117647058823529
"120",0.929411764705882,0.925490196078431,0.882352941176471,0.16078431372549,0.258823529411765,0.188235294117647
"121",0.937254901960784,0.92156862745098,0.831372549019608,0.0156862745098039,0.137254901960784,0.0549019607843137
"122",0.92156862745098,0.909803921568627,0.870588235294118,0.192156862745098,0.286274509803922,0.207843137254902
"123",0.92156862745098,0.909803921568627,0.870588235294118,0.262745098039216,0.352941176470588,0.270588235294118
"124",0.933333333333333,0.917647058823529,0.831372549019608,0.0901960784313725,0.215686274509804,0.129411764705882
"125",0,0,0,0.407843137254902,0.450980392156863,0.364705882352941
"126",0.92156862745098,0.909803921568627,0.870588235294118,0.0392156862745098,0.152941176470588,0.0705882352941176
"127",0.862745098039216,0.847058823529412,0.772549019607843,0.286274509803922,0.32156862745098,0.188235294117647
"128",0.901960784313726,0.890196078431372,0.850980392156863,0.117647058823529,0.196078431372549,0.0941176470588235
"129",0.925490196078431,0.909803921568627,0.827450980392157,0.109803921568627,0.188235294117647,0.0901960784313725
"130",0.909803921568627,0.890196078431372,0.854901960784314,0.0117647058823529,0.117647058823529,0.0588235294117647
"131",0.913725490196078,0.894117647058824,0.811764705882353,0.364705882352941,0.407843137254902,0.329411764705882
"132",0.92156862745098,0.909803921568627,0.870588235294118,0.4,0.435294117647059,0.368627450980392
"133",0.92156862745098,0.909803921568627,0.870588235294118,0.149019607843137,0.250980392156863,0.152941176470588
"134",0.941176470588235,0.929411764705882,0.850980392156863,0.133333333333333,0.231372549019608,0.152941176470588
"135",0.905882352941176,0.890196078431372,0.827450980392157,0.0549019607843137,0.196078431372549,0.109803921568627
"136",0.92156862745098,0.909803921568627,0.870588235294118,0.109803921568627,0.215686274509804,0.149019607843137
"137",0.92156862745098,0.909803921568627,0.870588235294118,0.0588235294117647,0.180392156862745,0.125490196078431
"138",0.862745098039216,0.847058823529412,0.772549019607843,0.223529411764706,0.290196078431373,0.192156862745098
"139",0.92156862745098,0.909803921568627,0.870588235294118,0.501960784313725,0.533333333333333,0.470588235294118
"140",0.925490196078431,0.909803921568627,0.827450980392157,0.192156862745098,0.250980392156863,0.149019607843137
"141",0.92156862745098,0.909803921568627,0.870588235294118,0.52156862745098,0.545098039215686,0.490196078431373
"142",0,0,0,0.286274509803922,0.341176470588235,0.23921568627451
"143",0.937254901960784,0.929411764705882,0.886274509803922,0.00784313725490196,0.113725490196078,0.0431372549019608
"144",0.925490196078431,0.909803921568627,0.827450980392157,0.0745098039215686,0.176470588235294,0.101960784313725
"145",0.925490196078431,0.909803921568627,0.827450980392157,0.152941176470588,0.250980392156863,0.152941176470588
"146",0.913725490196078,0.898039215686275,0.819607843137255,0.235294117647059,0.286274509803922,0.176470588235294
"147",0.925490196078431,0.909803921568627,0.827450980392157,0.0196078431372549,0.129411764705882,0.0823529411764706
"148",0.92156862745098,0.909803921568627,0.870588235294118,0.329411764705882,0.388235294117647,0.298039215686275
"149",0.937254901960784,0.929411764705882,0.886274509803922,0.0549019607843137,0.176470588235294,0.0980392156862745
"150",0.937254901960784,0.929411764705882,0.87843137254902,0.105882352941176,0.207843137254902,0.137254901960784
"151",0.925490196078431,0.909803921568627,0.827450980392157,0.172549019607843,0.23921568627451,0.129411764705882
"152",0.898039215686275,0.886274509803922,0.847058823529412,0.36078431372549,0.392156862745098,0.301960784313725
"153",0.92156862745098,0.909803921568627,0.870588235294118,0.113725490196078,0.196078431372549,0.105882352941176
"154",0.925490196078431,0.909803921568627,0.827450980392157,0.164705882352941,0.258823529411765,0.145098039215686
"155",0.925490196078431,0.909803921568627,0.827450980392157,0.0509803921568627,0.145098039215686,0.0549019607843137
"156",0.925490196078431,0.909803921568627,0.827450980392157,0.235294117647059,0.290196078431373,0.172549019607843
"157",0.898039215686275,0.886274509803922,0.847058823529412,0.0549019607843137,0.196078431372549,0.109803921568627
"158",0.92156862745098,0.909803921568627,0.870588235294118,0.125490196078431,0.247058823529412,0.180392156862745
"159",0.941176470588235,0.929411764705882,0.850980392156863,0.101960784313725,0.203921568627451,0.133333333333333
"160",0.952941176470588,0.941176470588235,0.890196078431372,0.00392156862745098,0.113725490196078,0.0627450980392157
"161",0.92156862745098,0.909803921568627,0.870588235294118,0.517647058823529,0.537254901960784,0.470588235294118
"162",0.96078431372549,0.945098039215686,0.866666666666667,0.00784313725490196,0.129411764705882,0.0470588235294118
"163",0.925490196078431,0.909803921568627,0.827450980392157,0.286274509803922,0.325490196078431,0.203921568627451
"164",0,0,0,0.337254901960784,0.388235294117647,0.313725490196078
"165",0.662745098039216,0.815686274509804,0.996078431372549,0.411764705882353,0.450980392156863,0.376470588235294
"166",0.925490196078431,0.909803921568627,0.827450980392157,0.149019607843137,0.219607843137255,0.117647058823529
"167",0.862745098039216,0.847058823529412,0.772549019607843,0.156862745098039,0.243137254901961,0.133333333333333
"168",0.898039215686275,0.886274509803922,0.847058823529412,0.0588235294117647,0.164705882352941,0.0901960784313725
"169",0.909803921568627,0.894117647058824,0.811764705882353,0.2,0.258823529411765,0.152941176470588
"170",0.913725490196078,0.898039215686275,0.815686274509804,0.101960784313725,0.172549019607843,0.125490196078431
"171",0,0,0,0.415686274509804,0.450980392156863,0.384313725490196
"172",0.925490196078431,0.909803921568627,0.827450980392157,0.0784313725490196,0.203921568627451,0.125490196078431
"173",0.92156862745098,0.909803921568627,0.870588235294118,0.415686274509804,0.458823529411765,0.368627450980392
"174",0,0,0,0.313725490196078,0.380392156862745,0.298039215686275
"175",0.925490196078431,0.909803921568627,0.827450980392157,0.2,0.286274509803922,0.184313725490196
"176",0.925490196078431,0.909803921568627,0.827450980392157,0.145098039215686,0.262745098039216,0.164705882352941
"177",0.901960784313726,0.886274509803922,0.807843137254902,0.156862745098039,0.227450980392157,0.129411764705882
"178",0.901960784313726,0.886274509803922,0.807843137254902,0.219607843137255,0.294117647058824,0.192156862745098
"179",0.92156862745098,0.909803921568627,0.870588235294118,0.0588235294117647,0.184313725490196,0.12156862745098
"180",0.92156862745098,0.901960784313726,0.819607843137255,0.145098039215686,0.250980392156863,0.188235294117647
"181",0.925490196078431,0.909803921568627,0.827450980392157,0.0823529411764706,0.168627450980392,0.0823529411764706
"182",0.925490196078431,0.909803921568627,0.827450980392157,0.0196078431372549,0.137254901960784,0.0862745098039216
"183",0,0,0,0.490196078431373,0.513725490196078,0.435294117647059
"184",0.925490196078431,0.909803921568627,0.827450980392157,0.0901960784313725,0.176470588235294,0.0980392156862745
"185",0.901960784313726,0.886274509803922,0.807843137254902,0.0901960784313725,0.176470588235294,0.0784313725490196
"186",0.929411764705882,0.925490196078431,0.882352941176471,0.0823529411764706,0.207843137254902,0.145098039215686
"187",0.898039215686275,0.886274509803922,0.847058823529412,0.36078431372549,0.368627450980392,0.23921568627451
"188",0.870588235294118,0.823529411764706,0.713725490196078,0.180392156862745,0.247058823529412,0.137254901960784
"189",0,0,0,0.454901960784314,0.486274509803922,0.415686274509804
"190",0.925490196078431,0.909803921568627,0.827450980392157,0.270588235294118,0.325490196078431,0.219607843137255
"191",0.92156862745098,0.909803921568627,0.870588235294118,0.223529411764706,0.301960784313725,0.203921568627451
"192",0.92156862745098,0.909803921568627,0.870588235294118,0.588235294117647,0.615686274509804,0.556862745098039
"193",0.933333333333333,0.92156862745098,0.83921568627451,0.117647058823529,0.203921568627451,0.0980392156862745
"194",0.901960784313726,0.886274509803922,0.807843137254902,0.188235294117647,0.286274509803922,0.188235294117647
"195",0.925490196078431,0.909803921568627,0.827450980392157,0.0862745098039216,0.2,0.113725490196078
"196",0.92156862745098,0.909803921568627,0.870588235294118,0.2,0.298039215686275,0.215686274509804
"197",0.862745098039216,0.847058823529412,0.772549019607843,0.227450980392157,0.286274509803922,0.180392156862745
"198",0.941176470588235,0.929411764705882,0.850980392156863,0.0705882352941176,0.196078431372549,0.125490196078431
"199",0,0,0,0.407843137254902,0.447058823529412,0.376470588235294
"200",0.941176470588235,0.929411764705882,0.850980392156863,0,0.0823529411764706,0.0196078431372549
"201",0.63921568627451,0.8,1,0.0509803921568627,0.16078431372549,0.176470588235294
"202",0,0,0,0.458823529411765,0.43921568627451,0.403921568627451
"203",0.63921568627451,0.8,1,0.0862745098039216,0.180392156862745,0.188235294117647
"204",0,0,0,0.52156862745098,0.525490196078431,0.501960784313725
"205",0.63921568627451,0.8,1,0.0745098039215686,0.172549019607843,0.188235294117647
"206",0.63921568627451,0.8,1,0.0666666666666667,0.172549019607843,0.188235294117647
"207",0.63921568627451,0.8,1,0.0666666666666667,0.176470588235294,0.176470588235294
"208",0.63921568627451,0.8,1,0.0666666666666667,0.176470588235294,0.176470588235294
"209",0.63921568627451,0.8,1,0.0666666666666667,0.176470588235294,0.176470588235294
"210",0.63921568627451,0.8,1,0.0313725490196078,0.141176470588235,0.149019607843137
"211",0,0,0,0.388235294117647,0.388235294117647,0.372549019607843
"212",0.63921568627451,0.8,1,0.0980392156862745,0.172549019607843,0.176470588235294
"213",0,0,0,0.392156862745098,0.392156862745098,0.380392156862745
"214",0.63921568627451,0.8,1,0.0666666666666667,0.172549019607843,0.188235294117647
"215",0,0,0,0.372549019607843,0.372549019607843,0.364705882352941
"216",0,0,0,0.329411764705882,0.329411764705882,0.309803921568627
"217",0,0,0,0.411764705882353,0.415686274509804,0.384313725490196
"218",0.92156862745098,0.909803921568627,0.870588235294118,0.337254901960784,0.345098039215686,0.305882352941176
"219",0.63921568627451,0.8,1,0.0431372549019608,0.152941176470588,0.184313725490196
"220",0.63921568627451,0.8,1,0.0666666666666667,0.16078431372549,0.172549019607843
"221",0.63921568627451,0.8,1,0.0823529411764706,0.145098039215686,0.145098039215686
"222",0.450980392156863,0.450980392156863,0.431372549019608,0.407843137254902,0.407843137254902,0.376470588235294
"223",0.63921568627451,0.8,1,0.0313725490196078,0.145098039215686,0.176470588235294
"224",0,0,0,0.431372549019608,0.427450980392157,0.411764705882353
"225",0.63921568627451,0.8,1,0.00392156862745098,0.125490196078431,0.16078431372549
"226",0,0,0,0.423529411764706,0.427450980392157,0.415686274509804
"227",0.63921568627451,0.8,1,0.0313725490196078,0.145098039215686,0.152941176470588
"228",0.63921568627451,0.8,1,0.0431372549019608,0.156862745098039,0.149019607843137
"229",0.63921568627451,0.8,1,0.0666666666666667,0.16078431372549,0.176470588235294
"230",0,0,0,0.525490196078431,0.52156862745098,0.490196078431373
"231",0,0,0,0.725490196078431,0.717647058823529,0.670588235294118
"232",0.63921568627451,0.8,1,0.231372549019608,0.258823529411765,0.231372549019608
"233",0.63921568627451,0.8,1,0.0666666666666667,0.16078431372549,0.176470588235294
"234",0,0,0,0.474509803921569,0.474509803921569,0.427450980392157
"235",0.654901960784314,0.807843137254902,0.992156862745098,0.223529411764706,0.258823529411765,0.243137254901961
"236",0.63921568627451,0.8,1,0.0627450980392157,0.16078431372549,0.164705882352941
"237",0.63921568627451,0.8,1,0.0823529411764706,0.176470588235294,0.180392156862745
"238",0,0,0,0.301960784313725,0.305882352941176,0.294117647058824
"239",0,0,0,0.403921568627451,0.403921568627451,0.372549019607843
"240",0.92156862745098,0.909803921568627,0.870588235294118,0.396078431372549,0.372549019607843,0.309803921568627
"241",0,0,0,0.23921568627451,0.23921568627451,0.215686274509804
"242",0.243137254901961,0.23921568627451,0.235294117647059,0.43921568627451,0.43921568627451,0.407843137254902
"243",0,0,0,0.282352941176471,0.282352941176471,0.247058823529412
"244",0.63921568627451,0.8,1,0.0666666666666667,0.168627450980392,0.184313725490196
"245",0.92156862745098,0.909803921568627,0.870588235294118,0.231372549019608,0.258823529411765,0.223529411764706
"246",0.92156862745098,0.909803921568627,0.870588235294118,0.501960784313725,0.498039215686275,0.454901960784314
"247",0.866666666666667,0.850980392156863,0.811764705882353,0.235294117647059,0.262745098039216,0.235294117647059
"248",0.63921568627451,0.8,1,0.0627450980392157,0.164705882352941,0.172549019607843
"249",0.63921568627451,0.8,1,0.0823529411764706,0.176470588235294,0.180392156862745
